LOCATION ACCOUNT #,names,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,zip,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000048995-0001-1,MICHAEL J KUCURA,TOM & GERRY,73 BERTH,SAN PEDRO,90731-4433,91741,73 BERTH 90731-4433,1958 HOMEWORTH DRIVE,PALOS VERDES PENINSULA,90275-2028,424400,Grocery & related products,15,1/7/2000,,"(33.7296, -118.2751)"
0002224604-0001-8,MACARIO RUIZ,,1902 W 7TH STREET,LOS ANGELES,90057-4104,91744,1902 7TH 90057-4104,541 N LARCHMONT BLVD,LOS ANGELES,90004-1305,,,1,1/1/2000,,"(34.0554, -118.2746)"
0000269786-0001-7,GUADALUPE F CHAVEZ,TAQUERIA DON LUPE,5300 S BROADWAY,LOS ANGELES,90037-3808,91745,5300 BROADWAY 90037-3808,,,,722110,Full-service restaurants,9,1/9/2001,,"(33.9941, -118.2783)"
0002979027-0001-6,ANGELINA BOTVICH,,4924   KESTER AVENUE   APARTMENT #16,SHERMAN OAKS,91403-1677,91746,4924 KESTER 91403-1677,4924   KESTER AVENUE   APARTMENT #16,SHERMAN OAKS,91403-1677,812990,All other personal services,4,1/1/2017,,"(34.1601, -118.457)"
0000851274-0001-1,KARRAS MANAGEMENT CORP,,587 1/2 WASHINGTON BLVD,VENICE,90292-5420,91748,587 WASHINGTON 90292-5420,POST OFFICE BOX #66155,LOS ANGELES,90066-0155,561110,Office administrative services,11,1/1/1997,,"(33.9842, -118.4586)"
0000066224-0001-2,AUGUSTO ENTERPRISES INC,,1 OLVERA STREET,LOS ANGELES,90012-2993,91750,1 OLVERA 90012-2993,1 OLVERA STREET SPACE #E1,LOS ANGELES,90012-6300,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",14,1/1/1992,,"(34.057, -118.2383)"
0002450323-0001-7,KURT LANGENHAHN,KURT LANGENHAHN DESIGNS,4553 1/4 VISTA DEL MONTE AVENUE,SHERMAN OAKS,91403-6415,91754,4553 VISTA DEL MONTE 91403-6415,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",4,6/1/2008,,"(34.1541, -118.4498)"
0002915989-0001-3,JAMES GOODWIN,BLACK TRIANGLE MEDIA,7000   HAWTHORN AVENUE   APARTMENT #201,LOS ANGELES,90028-6960,91755,7000 HAWTHORN 90028-6960,7000   HAWTHORN AVENUE   APARTMENT #201,LOS ANGELES,90028-6960,711510,"Independent artists, writers, & performers",13,6/18/2016,,"(34.0998, -118.3417)"
0002683574-0001-8,VANDAD HASHEMI,VD ELECTRIC,13903 SHERMAN WAY APARTMENT #1,VAN NUYS,91405-2545,91759,13903 SHERMAN 91405-2545,,,,235310,Electrical Contractors (1997 NAICS),2,5/28/2013,,"(34.2012, -118.4356)"
0000013789-0001-4,VOLUNTEERS OF AMERICA OF LOS ANGELES,,6660 BAKMAN AVENUE,N HOLLYWOOD,91606-1865,91763,6660 BAKMAN 91606,3600 WILSHIRE BLVD #1500,LOS ANGELES,90010-2619,531100,Lessors of real estate (including mini warehouses & self-storage units),2,12/18/1996,,"(34.1917, -118.3779)"
0002111693-0001-2,LILIA LEON,K-JEME TAX SERVICES,5938 N FIGUEROA STREET,LOS ANGELES,90042-4230,91765,5938 FIGUEROA 90042-4230,1465 N FAIRVALLEY AVENUE,COVINA,91722-2030,541990,"All other professional, scientific, & technical services",1,5/1/2006,,"(34.111, -118.1898)"
0002423475-0001-5,NORBERTO ROCHA,,7308 HINDS AVENUE APARTMENT #4,NORTH HOLLYWOOD,91605-3705,91766,7308 HINDS 91605-3705,,,,812990,All other personal services,2,9/1/2006,,"(34.2031, -118.391)"
0000506467-0001-6,RAJ D ROY,ROY LEGAL GROUP,8345 RESEDA BLVD #222,NORTHRIDGE,91324-5933,91767,8345 RESEDA 91324-5933,,,,541100,Legal services,12,1/5/1998,,"(34.2216, -118.536)"
0002725339-0001-1,CRISTEBELL CASTILLO,,4133 CANTO DRIVE,LOS ANGELES,90032-2502,91768,4133 CANTO 90032-2502,,,,561720,Janitorial services,14,1/1/2013,,"(34.0779, -118.1946)"
0002199832-0001-1,VANARD LEO BRYANT,VAN'S PLUMBING,2951 8TH AVENUE,LOS ANGELES,90018-2304,91770,2951 8TH 90018-2304,,,,,,10,5/12/2000,,"(34.0281, -118.3259)"
0002671062-0001-3,EMANON CREATIVE INC,,14258 HAMLIN STREET,VAN NUYS,91401-1405,91773,14258 HAMLIN 91401-1405,,,,711510,"Independent artists, writers, & performers",2,4/1/2011,,"(34.1886, -118.443)"
0002015418-0001-3,G N M S COMMUNITY DEVELOPMENT,FLORENCE COMMUNITY DAY CARE,154 W FLORENCE AVENUE,LOS ANGELES,90003-1805,91775,154 FLORENCE 90003-1805,210 W FLORENCE AVENUE,LOS ANGELES,90003-1871,624410,Child day care services,9,9/1/2004,,"(33.9746, -118.2752)"
0002895586-0001-2,CLAIRE PFISTER,ARETE JEWELRY LLC,479  1/2 S ROXBURY DRIVE,BEVERLY HILLS,90212-4164,91776,479 ROXBURY 90212-4164,479 1/2 S ROXBURY DRIVE,BEVERLY HILLS,90212-4164,423940,"Jewelry, watch, precious stone, & precious metals",0,3/1/2015,,"(34.0572, -118.4058)"
0002556672-0001-4,MARY KHALIL,,8725 YORKTOWN AVENUE,LOS ANGELES,90045-4134,91780,8725 YORKTOWN 90045-4134,,,,812990,All other personal services,11,1/1/2009,,"(33.9582, -118.3889)"
0002585749-0001-5,SOUTHEAST AREA BUSINESS BOOSTER ASSOCIATION,,145 W 108TH STREET,LOS ANGELES,90061-2001,91784,145 108TH 90061-2001,,,,999999,Unclassified establishments (unable to classify),8,10/27/2011,,"(33.9382, -118.2749)"
0002712501-0001-2,KYU MARTIAL ARTS CENTER INC,,18514 DEVONSHIRE STREET,NORTHRIDGE,91324-1307,91786,18514 DEVONSHIRE 91324-1307,,,,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",12,11/1/2013,,"(34.2572, -118.5364)"
0002482304-0001-8,PRESCRIPTION VENDING MACHINES INC,,6700 FALLBROOK AVENUE SUITE #289,WEST HILLS,91307-3929,91789,6700 FALLBROOK 91307-3929,,,,454210,Vending machine operators,12,1/26/2010,,"(34.1921, -118.6233)"
0000850716-0001-2,BRIERLEY & PARTNERS INC,BRIERLEY & PARTNERS,15303 VENTURA BLVD SUITE #400,SHERMAN OAKS,91403-6618,91790,15303 VENTURA 91403-6618,,,,541800,Advertising & related services,4,8/12/1987,,"(34.1537, -118.4657)"
0002184384-0001-5,FERMIN DAVALOS,,5507 WILLIS AVENUE,SHERMAN OAKS,91411-3762,91791,5507 WILLIS 91411-3762,,,,,,4,1/1/2004,,"(34.1704, -118.4552)"
0003008963-0001-0,CAROLINA A MCKEON,,612 S SYCAMORE AVENUE,LOS ANGELES,90036-3504,91792,612 SYCAMORE 90036-3504,,,,621610,Home health care services,4,1/1/2014,,"(34.0645, -118.3426)"
0002731951-0001-9,MLT VII LLC,THE WATERMARQUE,11925 KLING STREET,VALLEY VILLAGE,91607-5428,91801,11925 KLING 91607-5428,1859 N DOHENY DRIVE,LOS ANGELES,90069-1150,531100,Lessors of real estate (including mini warehouses & self-storage units),2,9/1/2013,,"(34.1558, -118.3927)"
0002998323-0001-8,FIRST MOTOR GROUP OF LOS ANGELES LLC,KIA DOWNTOWN LOS ANGELES,1945 S FIGUEROA STREET,LOS ANGELES,90007-1338,91803,1945 FIGUEROA 90007-1338,16721   VENTURA BLVD,ENCINO,91436-1701,441110,New car dealers,9,8/15/2017,,"(34.0334, -118.2733)"
0000870738-0001-1,WYLLISA RENEE BENNETT,WRB PUBLIC RELATIONS,550 S BARRINGTON AVENUE #1208,LOS ANGELES,90049-4325,92301,550 BARRINGTON 90049,,,,,,11,12/1/2001,,"(34.0586, -118.4684)"
0002220044-0001-4,ANTHONY E AMUNDSON,,560 N WESTERN AVENUE,SAN PEDRO,90732-2553,92371,560 WESTERN 90732-2553,1441 BRETT PLACE UNIT #347,SAN PEDRO,90732-5116,,,0,1/20/2007,,"(33.7488, -118.3092)"
0003009275-0001-2,AARON ATIAS,,13351   RIVERSIDE DRIVE   #270D,SHERMAN OAKS,91423-2542,92372,13351 RIVERSIDE 91423-2542,,,,541990,"All other professional, scientific, & technical services",4,1/1/2014,,"(34.1582, -118.4236)"
0002279995-0001-8,ANDREW J SUMMERS,,51 MARKET STREET,VENICE,90291-3603,92397,51 MARKET 90291-3603,15200 W SUNSET BLVD SUITE #209,PACIFIC PALISADES,90272-3621,532290,Other consumer goods rental,11,1/1/2003,,"(33.9881, -118.4731)"
0003007699-0001-6,KAMMY KENMAN,KENMAN MARKETING & DESIGN,5050   ESCOBEDO DRIVE,WOODLAND HILLS,91364-3320,92821,5050 ESCOBEDO 91364-3320,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3,6/1/2016,,"(34.1624, -118.5916)"
0003007781-0001-4,ELI MEVORACH,ELI CLEANING SERVICES,16045   SHERMAN WAY   APARTMENT #224,VAN NUYS,91406-4085,92823,16045 SHERMAN 91406-4085,,,,561720,Janitorial services,6,9/19/2017,,"(34.2015, -118.4828)"
0002413106-0001-3,DAN LEVI,DL CONSTRUCTION & WATERPROOFING | GIS PRODUCTS,15742 STAGG STREET UNIT #8,VAN NUYS,91406-1913,92833,15742 STAGG 91406-1913,,,,238990,All other specialty trade contractors,6,1/1/2008,,"(34.212, -118.4758)"
0002722552-0001-1,GINA HUH,NEW SUN,215 WINSTON STREET #B2,LOS ANGELES,90013-1413,93040,215 WINSTON 90013-1413,,,,424100,Paper & paper products,14,1/1/2014,,"(34.0461, -118.2464)"
0002496541-0001-1,ULF ANNEKEN,,10839 LA GRANGE AVENUE UNIT #A,LOS ANGELES,90025-4642,93063,10839 LA GRANGE 90025-4642,,,,611000,"Educational services (including schools, colleges, & universities)",5,1/1/2009,,"(34.0466, -118.4341)"
0002788816-0001-1,NENITA CARE HOME INC,,3039 DONA NENITA PLACE,STUDIO CITY,91604-4329,93225,3039 DONA NENITA 91604-4329,,,,,,2,1/1/2015,,"(34.1261, -118.3778)"
0000421490-0001-6,GREGORY P SATA,,11008 DARBY AVENUE,NORTHRIDGE,91326-2826,93243,11008 DARBY 91326-2826,,,,235520,Floor Laying and Other Floor Contractors (1997 NAICS),12,11/1/1982,,"(34.2696, -118.5338)"
0002733122-0001-1,MIGUEL A GARCIA,,44649 GINGHAM AVENUE,LANCASTER,93535-3036,93252,44649 GINGHAM 93535-3036,,,,233210,Single Family Housing Construction (1997 NAICS),0,1/1/2013,,"(34.6941, -118.1233)"
0002246180-0001-5,UNIFIED PICTURES LLC,,19773 BAHAMA STREET,NORTHRIDGE,91324-3304,93510,19773 BAHAMA 91324-3304,,,,541510,Computer systems design & related services,12,4/1/2004,,"(34.2331, -118.5629)"
0000899504-0001-4,EDUARDO AGUILERA,,5542 KESTER AVENUE #8,SHERMAN OAKS,91411-3760,93523,5542 KESTER 91411-3760,4770 KESTER AVENUE APARTMENT #105,SHERMAN OAKS,91403-2069,,,4,8/5/2000,,"(34.171, -118.4574)"
0002715477-0001-9,DAVID VALENTINO,,3441 LA SOMBRA DRIVE,LOS ANGELES,90068-1511,93532,3441 LA SOMBRA 90068-1511,,,,323100,Printing & related support activities,4,3/1/2012,,"(34.132, -118.3416)"
0000798096-0001-2,ALAN W BENNETT,TRES CHIC DESIGNS,2038 GLENDALE BLVD,LOS ANGELES,90039-3607,93534,2038 GLENDALE 90039-3607,2038 GLENDALE BLVD,LOS ANGELES,90039-3607,,,13,7/9/1990,,"(34.0929, -118.2588)"
0000371483-0001-2,JOHN A ASCHENBACH,J & A ACCESSORIES,8069 WYNNE AVENUE,RESEDA,91335-1336,93535,8069 WYNNE 91335,,,,452000,General merchandise stores,12,10/9/1981,,"(34.2171, -118.5301)"
0000069929-0001-4,PAUL B WEGNER,,2428 MAIN STREET,SANTA MONICA,90405-3516,93536,2428 MAIN 90405-3516,,,,,,0,9/2/1993,,"(34.0039, -118.4855)"
0002998924-0001-1,DIKRAN ARMOUCHIAN,CREATIVE IMAGE CONSULTING,7015   WHITSETT AVENUE   APARTMENT #105,NORTH HOLLYWOOD,91605-5453,93543,7015 WHITSETT 91605-5453,9350   WILSHIRE BLVD   SUITE #203,BEVERLY HILLS,90212-3204,531390,Other activities related to real estate,2,6/27/2017,,"(34.1979, -118.4057)"
0003009046-0001-0,LESLIE KAROLINA ARRIAZA,LUX S BICYCLE SHOP,1305 W JEFFERSON BLVD,LOS ANGELES,90007-3436,93544,1305 JEFFERSON 90007-3436,,,,451110,Sporting goods stores,8,9/26/2017,,"(34.0258, -118.295)"
0002372810-0001-2,HAYFIELD UNIVERSITY INC,,3960 WILSHIRE BLVD SUITE #200,LOS ANGELES,90010-3321,93550,3960 WILSHIRE 90010-3321,,,,611000,"Educational services (including schools, colleges, & universities)",10,8/23/2008,,"(34.0616, -118.3133)"
0002375563-0001-1,HAROLD BRUCE LEEDS JR,,11401 TOPANGA CANYON BLVD #22,CHATSWORTH,91311-1297,93551,11401 TOPANGA CANYON 91311-1297,,,,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,12,3/1/2006,,"(34.2759, -118.6049)"
0000076560-0001-0,GIL GARCETTI,,139 N CLIFFWOOD AVENUE,LOS ANGELES,90049-2613,93552,139 CLIFFWOOD 90049-2613,,,,541920,Photographic services,11,9/9/2003,,"(34.0582, -118.4857)"
0002773485-0001-7,AFSHARIAN ENTERPRISES INC,CALECCO,1605 E ELIZABETH STREET,PASADENA,91104-2721,93553,1605 ELIZABETH 91104-2721,,,,233210,Single Family Housing Construction (1997 NAICS),0,9/8/2014,,"(34.1737, -118.1179)"
0000401384-0001-0,MIKE BASARIC,,1028 AMHERST AVENUE,LOS ANGELES,90049-5804,93560,1028 AMHERST 90049-5804,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",11,3/10/1993,,"(34.0455, -118.4707)"
0000387137-0001-8,SERGIO LUIS VALDEZ,LA AUTO REGISTRATION SERVICES,2504 S SAN PEDRO STREET,LOS ANGELES,90011-1520,93563,2504 SAN PEDRO 90011-1520,,,,561300,Employment services,9,8/1/1996,,"(34.0223, -118.2608)"
0003007126-0001-6,HOMELAND PRIVATE SECURITY INC.,CORPORATE AMERICA PRIVATE SECURITY,968   DURFEE AVENUE,SOUTH EL MONTE,91733-4408,93591,968 DURFEE 91733,968   DURFEE AVENUE,SOUTH EL MONTE,91733-4408,235310,Electrical Contractors (1997 NAICS),0,9/1/2017,,"(34.0345, -118.0455)"
0002522066-0001-1,EWA REZA,HARD HOLLYWOOD,3053  1/2 FUTURE STREET,LOS ANGELES,90065-1973,90001,3053 FUTURE 90065-1973,,,,,,1,10/15/2013,,"(34.1005, -118.2288)"
0000370059-0001-9,BDA INC,,4433 HIGHGROVE AVENUE,TORRANCE,90505-5513,90002,4433 HIGHGROVE 90505-5513,,,,,,0,1/2/1994,,"(33.8075, -118.362)"
0002029207-0001-4,TRADE CITY PRODUCTIONS INC,,3764 BARRY AVENUE,LOS ANGELES,90066-3204,90003,3764 BARRY 90066-3204,,,,,,11,1/20/2005,,"(34.0087, -118.4263)"
0002583748-0001-6,OKTAY OLCUM,WEBNETON,531 S CALLE DE CASAS,ANAHEIM,92807-4704,90004,531 CALLE DE CASAS 92807-4704,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",0,10/25/2011,,"(33.8439, -117.7839)"
0000619690-0001-5,1126 WILSHIRE PARTNERSHIP,,1126 WILSHIRE BLVD,LOS ANGELES,90017-1904,90005,1126 WILSHIRE 90017-1904,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),1,7/1/1988,,"(34.0525, -118.2637)"
0000475399-0001-0,SARKIS/GARY BEDROSSIAN,,7503 LAUREL CANYON BLVD,N HOLLYWOOD,91605-3149,90006,7503 LAUREL CANYON 91605-3149,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),2,1/1/1997,,"(34.2068, -118.3965)"
0002536664-0001-7,OSCAR M AREVALO,,4524 CIMARRON STREET,LOS ANGELES,90062-1918,90007,4524 CIMARRON 90062-1918,,,,812990,All other personal services,8,1/1/2008,,"(34.002, -118.316)"
0002756399-0001-0,ANA WONG MCDONALD,,4368 EAGLE ROCK BLVD,LOS ANGELES,90041-3211,90008,4368 EAGLE ROCK 90041-3211,3638 W AVENUE 42,LOS ANGELES,90065-4304,621330,Offices of mental health practitioners (except physicians),1,4/6/2014,,"(34.1236, -118.2213)"
0002642706-0001-5,NORCO DELIVERY SERVICE INC,,16520 ARMINTA STREET,VAN NUYS,91406-1744,90010,16520 ARMINTA 91406-1744,POST OFFICE BOX #4836,ANAHEIM,92803-4836,492000,Couriers & messengers,6,6/1/2012,,"(34.2148, -118.4934)"
0002501808-0001-4,AMANDA WING,,11001 HORTENSE STREET,NORTH HOLLYWOOD,91602-1717,90011,11001 HORTENSE 91602-1717,,,,711510,"Independent artists, writers, & performers",2,4/23/2010,,"(34.1545, -118.3706)"
0002768698-0001-1,JACOB HAIK,,1755 W CHANDELEUR DRIVE,SAN PEDRO,90732-3311,90012,1755 CHANDELEUR 90732-3311,,,,541990,"All other professional, scientific, & technical services",15,11/1/2013,,"(33.7392, -118.3161)"
0002031449-0001-2,ROXANA GONZALEZ,,4943 NEOLA PLACE,LOS ANGELES,90041-2413,90013,4943 NEOLA 90041-2413,,,,,,14,1/1/2002,,"(34.1362, -118.1944)"
0002499813-0001-5,FRANK EDWARD SAMUEL JR,,1767 GLADYS AVENUE,LONG BEACH,90804-1697,90014,1767 GLADYS 90804-1697,1767 GLADYS AVENUE,LONG BEACH,90804-1697,561600,Investigation & security services,0,4/29/2010,,"(33.7892, -118.1578)"
0000088823-0001-4,MICHAEL S GORDON,,11677 SAN VICENTE BLVD #210,LOS ANGELES,90049-5128,90015,11677 SAN VICENTE 90049-5128,,,,812111,Barber shops,11,12/3/1993,,"(34.0538, -118.4647)"
0003004846-0001-9,CAH 2014-2 BORROWER LLC,,8665 E HARTFORD DRIVE   #200,SCOTTSDALE,85255-7804,90016,8665 HARTFORD 85255-7804,2025 N KEENE AVENUE,LOS ANGELES,90059-3632,532290,Other consumer goods rental,0,2/1/2016,,"(33.6408, -111.894)"
0002131945-0003-7,PUBLIC HEALTH FOUNDATION WIC PROGRAM,MAPLE AVE WIC,428 E WASHINGTON BLVD,LOS ANGELES,90015-3721,90017,428 WASHINGTON 90015-3721,12781 SCHABARUM AVENUE,IRWINDALE,91706-6807,624100,Individual & family services,9,7/20/2011,,"(34.0293, -118.2609)"
0003008361-0001-1,TERESA CELADA DALTON,TERESA CELADA DALTON PHD,811   WILSHIRE BLVD   FLOOR #17,LOS ANGELES,90017-2606,90018,811 WILSHIRE 90017-2606,4650 W SUNSET BLVD   STOP #53,LOS ANGELES,90027-6062,541600,"Management, scientific, & technical consulting services",14,9/21/2017,,"(34.0498, -118.2582)"
0003008864-0001-6,BINIWATI,WABA,4250 S HOBART BLVD,LOS ANGELES,90062-1626,90019,4250 HOBART 90062-1626,POST OFFICE BOX #7118,LOS ANGELES,90007-0118,621610,Home health care services,8,10/1/2017,,"(34.0059, -118.3075)"
0003007430-0001-7,ROBERT ARSHAGOUNI,,1543  1/2 N KENMORE AVENUE,LOS ANGELES,90027-5205,90020,1543 KENMORE 90027-5205,9176   INDEPENDENCE AVENUE,CHATSWORTH,91311-5902,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",13,8/1/2017,,"(34.0995, -118.2976)"
0002091523-0001-4,L V JOHNSON LLC,,6831 ALTA LOMA TERRACE,LOS ANGELES,90068-3122,90021,6831 ALTA LOMA 90068-3122,332 N CARVOL AVENUE,WEST COVINA,91790-1810,531100,Lessors of real estate (including mini warehouses & self-storage units),4,10/18/2000,,"(34.1092, -118.337)"
0002597419-0001-1,PROVIDENCE HEALTH & SERVICES FOUNDATION,PROVIDENCE TARZANA FOUNDATION,18321 CLARK STREET,TARZANA,91356-3501,90022,18321 CLARK 91356-3501,,,,541990,"All other professional, scientific, & technical services",3,11/9/2011,,"(34.1697, -118.5313)"
0002260664-0002-4,COGNAC PACIFIC GATEWAY LLC,,1111 KNOX STREET,TORRANCE,90502-1034,90023,1111 KNOX 90502-1034,1800 E IMPERIAL HIGHWAY UNIT #205,BREA,92821-6074,531100,Lessors of real estate (including mini warehouses & self-storage units),15,2/10/2006,,"(33.8542, -118.2954)"
0003004362-0001-7,EDUARD ISPIRYAN,,12730   VANOWEN STREET,NORTH HOLLYWOOD,91605-5216,90024,12730 VANOWEN 91605-5216,,,,811490,Other personal &  household goods repair & maintenance,2,8/1/2015,,"(34.1938, -118.4102)"
0000579457-0001-9,DAVID J VERGINI,VERGINI CONSTRUCTION,5223 BEN AVENUE,N HOLLYWOOD,91607-2705,90025,5223 BEN 91607-2705,,,,233210,Single Family Housing Construction (1997 NAICS),2,11/7/2001,,"(34.1655, -118.3943)"
0002763717-0001-9,DAVID BENJAMIN SHERRY,,3745 CLAYTON AVENUE,LOS ANGELES,90027-4613,90026,3745 CLAYTON 90027-4613,,,,711510,"Independent artists, writers, & performers",4,1/1/2011,,"(34.1004, -118.2756)"
0002514543-0001-0,THOR 142 ROBERTSON LLC,,142 S ROBERTSON BLVD,LOS ANGELES,90048-3208,90027,142 ROBERTSON 90048-3208,25 W 39TH STREET,NEW YORK,10018-3805,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),5,5/30/2008,,"(34.0745, -118.3837)"
0002727153-0001-0,JEFF/DARLA/PAUL FOLTMAN AND HENRY AND WENDY FALKENSTEIN,,3838 S PACIFIC AVENUE,SAN PEDRO,90731-6988,90028,3838 PACIFIC 90731-6988,801 W 9TH STREET,SAN PEDRO,90731-3603,531100,Lessors of real estate (including mini warehouses & self-storage units),15,8/1/2013,,"(33.709, -118.2879)"
0002035470-0001-1,"ST. CRAWFORD, INC",,407 MOLINO STREET,LOS ANGELES,90013-2223,90029,407 MOLINO 90013-2223,,,,,,14,4/15/2005,,"(34.0427, -118.234)"
0002671978-0001-8,405 MOTORSPORTS INC,,11904 JEFFERSON BLVD,CULVER CITY,90230-6312,90031,11904 JEFFERSON 90230-6312,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",11,1/1/2005,,"(33.9851, -118.4031)"
0003007493-0001-2,JOSHUA COSENZA,ALL CITY COURIER,927 S HARVARD BLVD   APARTMENT #3,LOS ANGELES,90006-1229,90032,927 HARVARD 90006,927 S HARVARD BLVD   APARTMENT #3,LOS ANGELES,90006-1229,492000,Couriers & messengers,10,9/20/2017,,"(34.0549, -118.3045)"
0002116190-0001-4,SHALIMA K MUKTA,,7106 BELLAIRE AVENUE,NORTH HOLLYWOOD,91605-5230,90033,7106 BELLAIRE 91605-5230,158 S HOBART BLVD,LOS ANGELES,90004-5206,,,2,5/6/2003,,"(34.1995, -118.4094)"
0000860896-0001-6,CONSTANCE DIPIPPO,,10739 LANDALE STREET,TOLUCA LAKE,91602-2303,90034,10739 LANDALE 91602-2303,,,,541800,Advertising & related services,4,1/1/2000,,"(34.1512, -118.365)"
0002588640-0001-8,MEGA PARTY INC,,215 BOYD STREET SUITE #A & B,LOS ANGELES,90013-1405,90035,215 BOYD 90013-1405,,,,424990,Other miscellaneous nondurable goods,14,7/16/2010,,"(34.0475, -118.2448)"
0002657811-0001-7,INTERNATIONAL INTERIOR DESIGN ASSOCIATION,,1933 S BROADWAY SUITE #1024,LOS ANGELES,90007-4521,90036,1933 BROADWAY 90007-4521,,,,541990,"All other professional, scientific, & technical services",9,1/1/2005,,"(34.0303, -118.2664)"
0002183240-0001-7,CAROL SMITH,,10311 MCKINLEY AVENUE,LOS ANGELES,90002-3258,90037,10311 MCKINLEY 90002-3258,4931 INADALE AVENUE,LOS ANGELES,90043-1550,,,8,10/1/1983,,"(33.9429, -118.2608)"
0002536191-0001-3,RANDY PETERSEN,RANDY L PETERSEN,10865 PLAINVIEW AVENUE,TUJUNGA,91042-1633,90038,10865 PLAINVIEW 91042-1633,,,,812990,All other personal services,7,11/1/2010,,"(34.2662, -118.2979)"
0003009093-0001-4,ELEVEN ONE CONSTRUCTION LLC,ELEVEN - ONE CONSTRUCTION,1156   5TH AVENUE,LOS ANGELES,90019-3440,90039,1156 5TH 90019-3440,,,,233210,Single Family Housing Construction (1997 NAICS),10,9/26/2017,,"(34.0497, -118.321)"
0002997740-0001-7,TERRIE JACKSON,TERRIES SUTTLE DESIGNS LLC,1675 E 126TH STREET   SUITE #B,COMPTON,90222-1107,90040,1675 126TH 90222-1107,1675 E 126TH STREET   SUITE #B,COMPTON,90222-1107,423990,Other miscellaneous durable goods,0,4/13/2016,,"(33.9189, -118.2435)"
0000580390-0001-4,BERNICE RATNER/ROSE HOROWITZ/RUTH G CYRULNIK,GRM,8127 SAN FERNANDO ROAD,SUN VALLEY,91352-4005,90041,8127 SAN FERNANDO 91352-4005,POST OFFICE BOX #427,SUN VALLEY,91353-0427,531100,Lessors of real estate (including mini warehouses & self-storage units),2,1/1/1987,,"(34.2181, -118.3675)"
0000558134-0001-3,DONALD B MINK ACCOUNTANCY CORP,,4040 GLENCOE AVENUE,MARINA DEL REY,90292-5608,90042,4040 GLENCOE 90292-5608,4040 GLENCOE AVENUE,MARINA DEL REY,90292-5608,541213,Tax preparation services,11,3/1/1986,,"(33.9909, -118.4437)"
0000482552-0001-4,KOOGWON KWUN CPA & ASSOCIATES INC,,869 IROLO STREET,LOS ANGELES,90005-2454,90043,869 IROLO 90005-2454,,,,541219,Other accounting services,10,1/1/2004,,"(34.0564, -118.3008)"
0003008964-0001-4,RENEE FAIA,,1848  1/2 N EDGEMONT STREET   UNIT #4,LOS ANGELES,90027-4180,90044,1848 EDGEMONT 90027-4180,,,,812990,All other personal services,4,1/1/2013,,"(34.1045, -118.296)"
0002417997-0001-5,LARRY DARRELL CLIFTON,DC'S CUSTOM PLUMBING,38443 JUNIPER TREE ROAD,PALMDALE,93551-5015,90045,38443 JUNIPER TREE 93551-5015,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",0,1/1/2009,,"(34.5803, -118.1536)"
0002625916-0001-4,AA MED CORP,,18375 VENTURA BLVD #450,TARZANA,91356-4218,90046,18375 VENTURA 91356-4218,,,,621111,Offices of physicians (except mental health specialists),3,1/5/2012,,"(34.1675, -118.5329)"
0002455176-0001-9,PULMONARY MEDICAL CORPORATION,,18399 VENTURA BLVD #245,TARZANA,91356-6403,90047,18399 VENTURA 91356-6403,9860 WHITWELL DRIVE,BEVERLY HILLS,90210-1019,,,3,7/20/2009,,"(34.1678, -118.5335)"
0002255322-0001-8,KOUROSH ZARRINNIA DMD MS A DENTAL CORPORATION,,22600 VENTURA BLVD SUITE #202,WOODLAND HILLS,91364-1459,90048,22600 VENTURA 91364-1459,,,,621111,Offices of physicians (except mental health specialists),3,6/19/2007,,"(34.1673, -118.6189)"
0003008385-0001-7,THOMAS LYNARD NIETO,,1000 E 71ST WAY,LONG BEACH,90805-1030,90049,1000 71ST 90805-1030,,,,235310,Electrical Contractors (1997 NAICS),0,9/21/2017,,"(33.8843, -118.181)"
0000599519-0001-4,CHARLES R BACQUET DDS,,17214 SATICOY STREET,VAN NUYS,91406-2103,90056,17214 SATICOY 91406-2103,,,,621111,Offices of physicians (except mental health specialists),6,9/1/1987,,"(34.2084, -118.508)"
